Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-2.0720e-01,-0.113141
-2.0680e-01,-0.112994
-2.0640e-01,-0.112905
-2.0600e-01,-0.112842
-2.0560e-01,-0.113209
-2.0520e-01,-0.113661
-2.0480e-01,-0.113091
-2.0440e-01,-0.113233
-2.0400e-01,-0.112917
-2.0360e-01,-0.112525
-2.0320e-01,-0.113553
-2.0280e-01,-0.113109
-2.0240e-01,-0.113145
-2.0200e-01,-0.113598
-2.0160e-01,-0.1132
-2.0120e-01,-0.113005
-2.0080e-01,-0.112716
-2.0040e-01,-0.112623
-2.0000e-01,-0.112402
-1.9960e-01,-0.112658
-1.9920e-01,-0.112611
-1.9880e-01,-0.113373
-1.9840e-01,-0.112844
-1.9800e-01,-0.113013
-1.9760e-01,-0.112769
-1.9720e-01,-0.112559
-1.9680e-01,-0.112648
-1.9640e-01,-0.1128
-1.9600e-01,-0.11245
-1.9560e-01,-0.112691
-1.9520e-01,-0.113455
-1.9480e-01,-0.112561
-1.9440e-01,-0.112342
-1.9400e-01,-0.11308
-1.9360e-01,-0.112908
-1.9320e-01,-0.113306
-1.9280e-01,-0.112194
-1.9240e-01,-0.112569
-1.9200e-01,-0.113338
-1.9160e-01,-0.112348
-1.9120e-01,-0.113608
-1.9080e-01,-0.113086
-1.9040e-01,-0.112953
-1.9000e-01,-0.112525
-1.8960e-01,-0.112422
-1.8920e-01,-0.112855
-1.8880e-01,-0.113531
-1.8840e-01,-0.112789
-1.8800e-01,-0.112659
-1.8760e-01,-0.112787
-1.8720e-01,-0.113158
-1.8680e-01,-0.112677
-1.8640e-01,-0.113308
-1.8600e-01,-0.1123
-1.8560e-01,-0.112161
-1.8520e-01,-0.112969
-1.8480e-01,-0.112964
-1.8440e-01,-0.113489
-1.8400e-01,-0.112895
-1.8360e-01,-0.112561
-1.8320e-01,-0.112794
-1.8280e-01,-0.112803
-1.8240e-01,-0.113067
-1.8200e-01,-0.113203
-1.8160e-01,-0.112406
-1.8120e-01,-0.112778
-1.8080e-01,-0.113556
-1.8040e-01,-0.113078
-1.8000e-01,-0.112977
-1.7960e-01,-0.111619
-1.7920e-01,-0.11213
-1.7880e-01,-0.113558
-1.7840e-01,-0.113241
-1.7800e-01,-0.112384
-1.7760e-01,-0.112928
-1.7720e-01,-0.112669
-1.7680e-01,-0.11372
-1.7640e-01,-0.113244
-1.7600e-01,-0.112472
-1.7560e-01,-0.11282
-1.7520e-01,-0.113666
-1.7480e-01,-0.112441
-1.7440e-01,-0.113405
-1.7400e-01,-0.113316
-1.7360e-01,-0.112498
-1.7320e-01,-0.112745
-1.7280e-01,-0.112809
-1.7240e-01,-0.112547
-1.7200e-01,-0.112977
-1.7160e-01,-0.112723
-1.7120e-01,-0.113492
-1.7080e-01,-0.112583
-1.7040e-01,-0.112873
-1.7000e-01,-0.112964
-1.6960e-01,-0.112688
-1.6920e-01,-0.113416
-1.6880e-01,-0.113433
-1.6840e-01,-0.112389
-1.6800e-01,-0.112827
-1.6760e-01,-0.112052
